id,title,rank,score,cover_url,cover_path
16498,Shingeki no Kyojin,118,8.56,https://cdn.myanimelist.net/images/anime/10/47347l.webp,data/covers/16498_Shingeki_no_Kyojin.jpg
1535,Death Note,96,8.62,https://cdn.myanimelist.net/images/anime/1079/138100l.webp,data/covers/1535_Death_Note.jpg
5114,Fullmetal Alchemist: Brotherhood,2,9.1,https://cdn.myanimelist.net/images/anime/1208/94745l.webp,data/covers/5114_Fullmetal_Alchemist_Brotherhood.jpg
30276,One Punch Man,158,8.48,https://cdn.myanimelist.net/images/anime/12/76049l.jpg,data/covers/30276_One_Punch_Man.jpg
38000,Kimetsu no Yaiba,197,8.42,https://cdn.myanimelist.net/images/anime/1286/99889l.webp,data/covers/38000_Kimetsu_no_Yaiba.jpg
11757,Sword Art Online,3327,7.22,https://cdn.myanimelist.net/images/anime/11/39717l.webp,data/covers/11757_Sword_Art_Online.jpg
31964,Boku no Hero Academia,1009,7.83,https://cdn.myanimelist.net/images/anime/10/78745l.jpg,data/covers/31964_Boku_no_Hero_Academia.jpg
11061,Hunter x Hunter (2011),7,9.03,https://cdn.myanimelist.net/images/anime/1337/99013l.webp,data/covers/11061_Hunter_x_Hunter_2011_.jpg
20,Naruto,677,8.01,https://cdn.myanimelist.net/images/anime/1141/142503l.jpg,data/covers/20_Naruto.jpg
22319,Tokyo Ghoul,1095,7.79,https://cdn.myanimelist.net/images/anime/1498/134443l.jpg,data/covers/22319_Tokyo_Ghoul.jpg
32281,Kimi no Na wa.,31,8.83,https://cdn.myanimelist.net/images/anime/5/87048l.webp,data/covers/32281_Kimi_no_Na_wa_.jpg
25777,Shingeki no Kyojin Season 2,135,8.53,https://cdn.myanimelist.net/images/anime/4/84177l.jpg,data/covers/25777_Shingeki_no_Kyojin_Season_2.jpg
40748,Jujutsu Kaisen,134,8.54,https://cdn.myanimelist.net/images/anime/1171/109222l.webp,data/covers/40748_Jujutsu_Kaisen.jpg
9253,Steins;Gate,3,9.07,https://cdn.myanimelist.net/images/anime/1935/127974l.webp,data/covers/9253_Steins_Gate.jpg
1735,Naruto: Shippuuden,321,8.28,https://cdn.myanimelist.net/images/anime/1565/111305l.jpg,data/covers/1735_Naruto_Shippuuden.jpg
33486,Boku no Hero Academia 2nd Season,615,8.05,https://cdn.myanimelist.net/images/anime/12/85221l.webp,data/covers/33486_Boku_no_Hero_Academia_2nd_Season.jpg
21,One Piece,54,8.73,https://cdn.myanimelist.net/images/anime/1244/138851l.webp,data/covers/21_One_Piece.jpg
35760,Shingeki no Kyojin Season 3,84,8.64,https://cdn.myanimelist.net/images/anime/1173/92110l.webp,data/covers/35760_Shingeki_no_Kyojin_Season_3.jpg
28851,Koe no Katachi,18,8.93,https://cdn.myanimelist.net/images/anime/1122/96435l.jpg,data/covers/28851_Koe_no_Katachi.jpg
19815,No Game No Life,631,8.04,https://cdn.myanimelist.net/images/anime/1074/111944l.jpg,data/covers/19815_No_Game_No_Life.jpg
38524,Shingeki no Kyojin Season 3 Part 2,4,9.05,https://cdn.myanimelist.net/images/anime/1517/100633l.jpg,data/covers/38524_Shingeki_no_Kyojin_Season_3_Part_2.jpg
1575,Code Geass: Hangyaku no Lelouch,63,8.71,https://cdn.myanimelist.net/images/anime/1032/135088l.webp,data/covers/1575_Code_Geass_Hangyaku_no_Lelouch.jpg
31240,Re:Zero kara Hajimeru Isekai Seikatsu,358,8.24,https://cdn.myanimelist.net/images/anime/1522/128039l.jpg,data/covers/31240_Re_Zero_kara_Hajimeru_Isekai_Seikatsu.jpg
23273,Shigatsu wa Kimi no Uso,83,8.64,https://cdn.myanimelist.net/images/anime/1405/143284l.webp,data/covers/23273_Shigatsu_wa_Kimi_no_Uso.jpg
36456,Boku no Hero Academia 3rd Season,717,7.98,https://cdn.myanimelist.net/images/anime/1319/92084l.webp,data/covers/36456_Boku_no_Hero_Academia_3rd_Season.jpg
4224,Toradora!,644,8.04,https://cdn.myanimelist.net/images/anime/13/22128l.webp,data/covers/4224_Toradora_.jpg
20507,Noragami,783,7.94,https://cdn.myanimelist.net/images/anime/1886/128266l.webp,data/covers/20507_Noragami.jpg
32182,Mob Psycho 100,156,8.49,https://cdn.myanimelist.net/images/anime/8/80356l.webp,data/covers/32182_Mob_Psycho_100.jpg
31043,Boku dake ga Inai Machi,297,8.3,https://cdn.myanimelist.net/images/anime/10/77957l.webp,data/covers/31043_Boku_dake_ga_Inai_Machi.jpg
22199,Akame ga Kill!,2087,7.48,https://cdn.myanimelist.net/images/anime/1429/95946l.webp,data/covers/22199_Akame_ga_Kill_.jpg
40028,Shingeki no Kyojin: The Final Season,36,8.78,https://cdn.myanimelist.net/images/anime/1000/110531l.jpg,data/covers/40028_Shingeki_no_Kyojin_The_Final_Season.jpg
23755,Nanatsu no Taizai,1610,7.61,https://cdn.myanimelist.net/images/anime/8/65409l.webp,data/covers/23755_Nanatsu_no_Taizai.jpg
